Club,Competición,Edad media jugadores,Número de jugadores,Valor de mercado del club,Valor medio de jugador,18 jugadores más valiosos,Porcentaje de los 18 jugadores
Besiktas JK,SÃ¼per Lig,27.7,32,â‚¬127.05m,â‚¬3.97m,â‚¬115.10m,90.60
KRC Genk,Jupiler Pro League,23.3,24,â‚¬127.00m,â‚¬5.29m,â‚¬117.50m,92.50
Spartak Moscow,Premier Liga,26.1,25,â‚¬125.50m,â‚¬5.02m, ,96.40
SC Freiburg,Bundesliga,25.4,26,â‚¬125.15m,â‚¬4.81m,â‚¬119.40m,95.40
UC Sampdoria,Serie A,27.1,27,â‚¬124.80m,â‚¬4.62m,â‚¬111.40m,89.30
Sheffield United,Championship,28,27,â‚¬124.30m,â‚¬4.60m,â‚¬113.90m,91.60
SC Braga,Liga Bwin,25.5,28,â‚¬119.15m,â‚¬4.26m,â‚¬108.00m,90.60
Olympiacos Piraeus,Super League 1,26.1,33,â‚¬118.45m,â‚¬3.59m,â‚¬105.25m,88.90
Fenerbahce SK,SÃ¼per Lig,25.3,32, ,â‚¬3.57m,â‚¬102.50m,89.70
FK Krasnodar,Premier Liga,27.6,24,â‚¬113.25m,â‚¬4.72m,â‚¬109.10m,96.30
AFC Bournemouth,Championship,25.4,25,â‚¬113.05m,â‚¬4.52m,â‚¬109.90m,97.20
Levante UD,La    Liga,28.1,28,â‚¬112.50m,â‚¬4.02m,â‚¬104.10m,92.50
GNK Dinamo Zagreb,1.HNL,26.2,29,â‚¬109.20m,â‚¬3.77m,â‚¬99.40m,91.00
Hellas Verona,Serie A,26.7,26,â‚¬108.45m,â‚¬4.17m,â‚¬99.90m,92.10
Rangers FC,Premiership,27.5,29,â‚¬105.00m,  ,â‚¬98.70m,94.00
Club AtlÃ©tico River Plate,Liga Profesional,27.7,29,â‚¬103.93m,â‚¬3.58m,â‚¬96.35m,92.70
Galatasaray A.S.,SÃ¼per Lig,26.7,31,â‚¬102.18m,â‚¬3.30m,â‚¬86.83m,85.00
Udinese Calcio,Serie A,27.7,25,â‚¬101.45m,â‚¬4.06m,â‚¬95.20m,93.80
Feyenoord Rotterdam,Eredivisie,23.5,28,â‚¬101.40m,â‚¬3.62m,â‚¬98.90m,97.50
1.FSV Mainz 05,Bundesliga,25.5,25,â‚¬100.50m,â‚¬4.02m, ,95.80
RCD Espanyol Barcelona,  La  liga,27.6,25,â‚¬100.30m,â‚¬4.01m,â‚¬90.30m,90.00
Genoa CFC,Serie A,27.5,34,â‚¬99.20m,â‚¬2.92m,â‚¬86.00m,86.70
Clube AtlÃ©tico Mineiro,SÃ©rie A,26.9,31, ,â‚¬3.18m,â‚¬84.95m,86.30
FC Augsburg,Bundesliga,26.1,28,â‚¬97.10m,â‚¬3.47m,â‚¬88.00m,90.60
Lokomotiv Moscow,Premier Liga,24.8,29,â‚¬97.03m,â‚¬3.35m,â‚¬86.50m, 
Trabzonspor,SÃ¼per Lig,26.7,29,â‚¬96.30m,â‚¬3.32m,â‚¬89.00m,92.40
CA Osasuna,La   liga,27.7,27,â‚¬93.50m,â‚¬3.46m,â‚¬86.60m,92.60
